title,author,score,pages,year,genre,desc,reviews,url
Hawaii,James A. Michener,"9,637",937,1959,"Historical Fiction,Fiction,Historical,Classics,Travel,Novels,Epic","Pulitzer Prize–winning author James A. Michener brings Hawaii’s epic history vividly to life in a classic saga that has captivated readers since its initial publication in 1959. As the volcanic Hawaiian Islands sprout from the ocean floor, the land remains untouched for centuries—until, little more than a thousand years ago, Polynesian seafarers make the perilous journey across the Pacific, flourishing in this tropical paradise according to their ancient traditions. Then, in the early nineteenth century, American missionaries arrive, bringing with them a new creed and a new way of life. Based on exhaustive research and told in Michener’s immersive prose, Hawaii is the story of disparate peoples struggling to keep their identity, live in harmony, and, ultimately, join together.","2,124",/book/show/12658.Hawaii
"The Gunslinger (The Dark Tower, #1)",Stephen King,"18,805",231,1982,"Fantasy,Fiction,Horror,Science Fiction,Westerns,Audiobook,Adventure","In the first book of this series, Stephen King introduces readers to one of his most enigmatic heroes, Roland of Gilead, The Last Gunslinger. ","24,723",/book/show/43615.The_Gunslinger
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"53,824",159,1986,"Graphic Novels,Comics,History,Nonfiction,Memoir,Holocaust,Biography",The first installment of the Pulitzer Prize-winning graphic novel acclaimed as “the most affecting and successful narrative ever done about the Holocaust” (Wall Street Journal) and “the first masterpiece in comic book history” (The New Yorker).,"9,858",/book/show/15196.Maus_I
The Phantom of the Opera,Gaston Leroux,"18,805",360,1910,"Fiction,Horror,Romance,Classics,Gothic,Mystery,Historical Fiction","First published in French as a serial in 1909, ","11,171",/book/show/480204.The_Phantom_of_the_Opera
A Scanner Darkly,Philip K. Dick,"5,677",219,1977,"Science Fiction,Fiction,Dystopia,Classics,Science Fiction Fantasy,Novels,Cyberpunk","Substance D is not known as Death for nothing. It is the most toxic drug ever to find its way on to the streets of LA. It destroys the links between the brain's two hemispheres, causing, first, disorientation and then complete and irreversible brain damage.","4,165",/book/show/14817.A_Scanner_Darkly
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"53,824",540,1974,"Philosophy,Fiction,Classics,Spirituality,Travel,Psychology,Self Help",Robert M. Pirsig's ,"10,611",/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance
Zorba the Greek,Nikos Kazantzakis,"5,677",335,1946,"Fiction,Classics,Philosophy,Greece,Novels,Literature,Historical Fiction","The classic novel, international sensation, and inspiration for the film starring Anthony Quinn explores the struggle between the aesthetic and the rational, the inner life and the life of the mind.","5,628",/book/show/53639.Zorba_the_Greek
I Capture the Castle,Dodie Smith,"9,637",408,1948,"Classics,Fiction,Young Adult,Historical Fiction,Romance,Coming Of Age,Historical","Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, hopelessly, in love.","10,677",/book/show/31122.I_Capture_the_Castle
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"9,637",326,1997,"Fantasy,Young Adult,Fiction,Childrens,Adventure,Science Fiction,Audiobook","Lost in a new world, Lyra finds Will—a boy on the run, a murderer—a worthy and welcome ally. For this is a world where soul-eating Specters stalk the streets and witches share the skies with troops of angels.","12,788",/book/show/119324.The_Subtle_Knife
Song of Solomon,Toni Morrison,"18,805",338,1977,"Fiction,Classics,Historical Fiction,African American,Magical Realism,Novels,Literature","Milkman Dead was born shortly after a neighborhood eccentric hurled himself off a rooftop in a vain attempt at flight. For the rest of his life he, too, will be trying to fly. With this brilliantly imagined novel, Toni Morrison transfigures the coming-of-age story as audaciously as Saul Bellow or Gabriel García Márquez. As she follows Milkman from his rustbelt city to the place of his family’s origins, Morrison introduces an entire cast of strivers and seeresses, liars and assassins, the inhabitants of a fully realized black world.","6,226",/book/show/11334.Song_of_Solomon
The Amazing Adventures of Kavalier & Clay,Michael Chabon,"53,824",639,2000,"Fiction,Historical Fiction,Novels,Literature,Historical,Literary Fiction,Contemporary","Joe Kavalier, a young Jewish artist who has also been trained in the art of Houdini-esque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America - the comic book. Drawing on their own fears and dreams, Kavalier and Clay create the Escapist, the Monitor, and Luna Moth, inspired by the beautiful Rosa Saks, who will become linked by powerful ties to both men. With exhilarating style and grace, Michael Chabon tells an unforgettable story about American romance and possibility.","12,169",/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay
Speak,Laurie Halse Anderson,"18,805",224,1999,"Young Adult,Fiction,Contemporary,Realistic Fiction,Mental Health,Coming Of Age,Teen",The first ten lies they tell you in high school.,"31,012",/book/show/39280444-speak
Four Quartets,T.S. Eliot,"5,677",48,1943,"Poetry,Classics,Fiction,Literature,20th Century,Philosophy,American","The Four Quartets is a series of four poems by T.S. Eliot, published individually from 1936 to 1942, and in book form in 1943; it was considered by Eliot himself to be his finest work. Each of the quartets has five ""movements"" and each is titled by a place name -- BURNT NORTON (1936), EAST COKER (1940), THE DRY SALVAGES (1941), and LITTLE GIDDING (1942). Eliot's insights into the cyclical nature of life are revealed through themes and images woven throughout the four poems. Spiritual, philosophical, and personal themes emerge through symbolic allusions and literary and religious references from both Eastern and Western thought. The work addresses the connections of the personal and historical present and past, spiritual renewal, and the very nature of experience; it is considered the poet's clearest exposition of his Christian beliefs. (The Merriam-Webster Encyclopedia of Literature)","1,168",/book/show/80410.Four_Quartets
"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,"5,677",308,1967,"Horror,Fiction,Classics,Thriller,Mystery,Fantasy,Paranormal",Suppose you were an up-to-date young wife who moved into an old and elegant New York apartment house with a rather strange past. ,"6,821",/book/show/228296.Rosemary_s_Baby
A Room of One’s Own,Virginia Woolf,"53,824",112,1903,"Classics,Nonfiction,Feminism,Essays,Philosophy,Writing,Literature"," is an extended essay by Virginia Woolf. First published on the 24th of October, 1929, the essay was based on a series of lectures she delivered at Newnham College and Girton College, two women's colleges at Cambridge University in October 1928. While this extended essay in fact employs a fictional narrator and narrative to explore women both as writers and characters in fiction, the manuscript for the delivery of the series of lectures, titled Women and Fiction, and hence the essay, are considered nonfiction. The essay is seen as a feminist text, and is noted in its argument for both a literal and figural space for women writers within a literary tradition dominated by patriarchy.","17,194",/book/show/18521.A_Room_of_One_s_Own
Mother Night,Kurt Vonnegut Jr.,"9,637",282,1961,"Fiction,Classics,Historical Fiction,War,Literature,Novels,Humor"," is a daring challenge to our moral sense. American Howard W. Campbell, Jr., a spy during World War II, is now on trial in Israel as a Nazi war criminal. But is he really guilty? In this brilliant book rife with true gallows humor, Vonnegut turns black and white into a chilling shade of gray with a verdict that will haunt us all.","4,509",/book/show/9592.Mother_Night
"Are You There God? It’s Me, Margaret",Judy Blume,"18,805",149,1970,"Young Adult,Fiction,Childrens,Classics,Middle Grade,Coming Of Age,Realistic Fiction","Margaret Simon, almost twelve, likes long hair, tuna fish, the smell of rain, and things that are pink. She’s just moved from New York City to Farbrook, New Jersey, and is anxious to fit in with her new friends—Nancy, Gretchen, and Janie. When they form a secret club to talk about private subjects like boys, bras, and getting their first periods, Margaret is happy to belong.","11,875",/book/show/37732.Are_You_There_God_It_s_Me_Margaret
A Heartbreaking Work of Staggering Genius,Dave Eggers,"18,805",437,2000,"Fiction,Contemporary,Literature,Humor,Biography Memoir,Novels,American",A book that redefines both family and narrative for the twenty-first century. ,"9,773",/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius
If on a Winter’s Night a Traveler,Italo Calvino,"53,824",260,1979,"Fiction,Classics,Italian Literature,Magical Realism,Literature,Italy,Novels"," is a marvel of ingenuity, an experimental text that looks longingly back to the great age of narration—""when time no longer seemed stopped and did not yet seem to have exploded."" Italo Calvino's novel is in one sense a comedy in which the two protagonists, the Reader and the Other Reader, ultimately end up married, having almost finished ","9,068",/book/show/374233.If_on_a_Winter_s_Night_a_Traveler
The Painted Bird,Jerzy Kosiński,"5,677",234,1965,"Fiction,Historical Fiction,Classics,War,Horror,Literature,Holocaust","A harrowing story that follows the wanderings of a boy abandoned by his parents during World War II, ","2,102",/book/show/18452.The_Painted_Bird
Galápagos,Kurt Vonnegut Jr.,"5,677",324,1985,"Fiction,Science Fiction,Classics,Humor,Literature,Novels,American"," takes the reader back one million years, to A.D. 1986. A simple vacation cruise suddenly becomes an evolutionary journey. Thanks to an apocalypse, a small group of survivors stranded on the Galápagos Islands are about to become the progenitors of a brave, new, and totally different human race. In this inimitable novel, America’s master satirist looks at our world and shows us all that is sadly, madly awry—and all that is worth saving.","3,809",/book/show/9593.Gal_pagos
A Separate Peace,John Knowles,"53,824",208,1959,"Classics,Fiction,Young Adult,Historical Fiction,School,Coming Of Age,High School","An American classic and great bestseller for over thirty years, ","9,492",/book/show/5148.A_Separate_Peace
My Name Is Asher Lev,Chaim Potok,"9,637",369,1972,"Fiction,Classics,Historical Fiction,Jewish,Religion,Judaism,Art",.,"3,228",/book/show/11507.My_Name_Is_Asher_Lev
Just So Stories,Rudyard Kipling,"9,637",210,1902,"Classics,Fiction,Short Stories,Childrens,Fantasy,Animals,Literature",Librarian's Note: Alternate cover edition can be found ,"1,644",/book/show/34053.Just_So_Stories
Go Ask Alice,Beatrice Sparks,"18,805",213,1971,"Young Adult,Fiction,Classics,Contemporary,Mental Health,Realistic Fiction,Banned Books","It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.","13,261",/book/show/46799.Go_Ask_Alice
The English Patient,Michael Ondaatje,"53,824",320,1992,"Fiction,Historical Fiction,Classics,Romance,War,Historical,Canada","With ravishing beauty and unsettling intelligence, Michael Ondaatje's Booker Prize-winning novel traces the intersection of four damaged lives in an Italian villa at the end of World War II. Hana, the exhausted nurse; the maimed thief, Caravaggio; the wary sapper, Kip: each is haunted by the riddle of the English patient, the nameless, burned man who lies in an upstairs room and whose memories of passion, betrayal,and rescue illuminates this book like flashes of heat lightening.","5,973",/book/show/11713.The_English_Patient
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"53,824",734,2000,"Fantasy,Young Adult,Fiction,Magic,Childrens,Audiobook,Middle Grade","It is the summer holidays and soon Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. Harry is counting the days: there are new spells to be learnt, more Quidditch to be played, and Hogwarts castle to continue exploring. But Harry needs to be careful - there are unexpected dangers lurking...","68,735",/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
The Witches,Roald Dahl,"18,805",208,1981,"Fantasy,Childrens,Fiction,Classics,Middle Grade,Young Adult,Witches",This is not a fairy-tale. This is about ,"10,352",/book/show/6327.The_Witches
"The Bridge on the Drina (Bosnian Trilogy, #1)",Ivo Andrić,"5,677",314,1945,"Fiction,Historical Fiction,Classics,Literature,Nobel Prize,Historical,Novels","A vivid depiction of the suffering history has imposed upon the people of Bosnia from the late sixteenth century to the beginning of World War I, ","1,641",/book/show/3140.The_Bridge_on_the_Drina
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,"998,587",161,1926,"Childrens,Fiction,Classics,Fantasy,Animals,Middle Grade,Audiobook","The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.","7,094",/book/show/99107.Winnie_the_Pooh
The Sirens of Titan,Kurt Vonnegut Jr.,"9,637",224,1959,"Fiction,Science Fiction,Classics,Humor,Fantasy,Literature,Novels","The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.","6,810",/book/show/4982.The_Sirens_of_Titan
Ethan Frome,Edith Wharton,"9,637",99,1911,"Classics,Fiction,Romance,Literature,School,Historical Fiction,American","The classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countryside","7,463",/book/show/5246.Ethan_Frome
Mythology,Edith Hamilton,"9,637",497,1942,"Mythology,Classics,Nonfiction,History,Reference,Greek Mythology,Religion","Edith Hamilton, an educator, writer and a historian, was born August 12, 1867 in Dresden, Germany, of American parents and grew up in Fort Wayne, Indiana, U.S.A. Her father began teaching her Latin when she was seven years old and soon added Greek, French and German to her curriculum. Hamilton's education continued at Miss Porter's School in Farmington, Connecticut and at Bryn Mawr College near Philadelphia, Pennsylvania, from which she graduated in 1894 with an M.A. degree. The following year, she and her sister Alice went to Germany and were the first women students at the universities of Munich and Leipzich.","3,242",/book/show/23522.Mythology
The Maltese Falcon,Dashiell Hammett,"18,805",213,1930,"Mystery,Fiction,Classics,Crime,Noir,Detective,Mystery Thriller","Sam Spade is hired by the fragrant Miss Wonderley to track down her sister, who has eloped with a louse called Floyd Thursby. But Miss Wonderley is in fact the beautiful and treacherous Brigid O'Shaughnessy, and when Spade's partner Miles Archer is shot while on Thursby's trail, Spade finds himself both hunter and hunted: can he track down the jewel-encrusted bird, a treasure worth killing for, before the Fat Man finds him?","6,518",/book/show/29999.The_Maltese_Falcon
The House at Pooh Corner (Winnie-the-Pooh #2),A.A. Milne,"18,805",180,1928,"Classics,Childrens,Fiction,Fantasy,Animals,Audiobook,Middle Grade","Winnie-the-Pooh, the Best Bear in All the World, has long been adored by readers young and old. In this beautiful full-color gift edition of ""The House at Pooh Corner, "" Ernest H. Shepard's classic illustrations have been painstakingly hand-colored. An exquisite volume and the perfect gift for any occasion, this book is as vivid and charming as the beloved characters from the Hundred Acre Wood.","2,188",/book/show/776407.The_House_at_Pooh_Corner
Like Water for Chocolate,Laura Esquivel,"53,824",222,1989,"Fiction,Magical Realism,Romance,Historical Fiction,Classics,Fantasy,Food","Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico became a best-selling phenomenon with its winning blend of poignant romance and bittersweet wit.","13,438",/book/show/6952.Like_Water_for_Chocolate
The Age of Innocence,Edith Wharton,"53,824",293,1920,"Classics,Fiction,Historical Fiction,Romance,Literature,American,Historical","Winner of the 1921 Pulitzer Prize, ","10,291",/book/show/53835.The_Age_of_Innocence
Angels in America,Tony Kushner,"5,677",304,1993,"Plays,Drama,Fiction,LGBT,Queer,Classics,Theatre","In two full-length plays--Millennium Approaches and Perestroika--Kushner tells the story of a handful of people trying to make sense of the world. Prior is a man living with AIDS whose lover Louis has left him and become involved with Joe, an ex-Mormon and political conservative whose wife, Harper, is slowly having a nervous breakdown. These stories are contrasted with that of Roy Cohn (a fictional re-creation of the infamous American conservative ideologue who died of AIDS in 1986) and his attempts to remain in the closet while trying to find some sort of personal salvation in his beliefs.","1,195",/book/show/72003.Angels_in_America
Blindness,José Saramago,"998,587",349,1995,"Fiction,Dystopia,Science Fiction,Classics,Novels,Literature,Portugal","A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations, and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As ","23,826",/book/show/40495148-blindness
Johnny Got His Gun,Dalton Trumbo,"9,637",309,1939,"Fiction,Classics,War,Historical Fiction,Horror,Literature,Novels","This was no ordinary war. This was a war to make the world safe for democracy. And if democracy was made safe, then nothing else mattered - not the millions of dead bodies, nor the thousands of ruined lives... ","3,219",/book/show/51606.Johnny_Got_His_Gun
A Portrait of the Artist as a Young Man,James Joyce,"998,587",329,1916,"Classics,Fiction,Literature,Irish Literature,Ireland,Novels,20th Century","The portrayal of Stephen Dedalus's Dublin childhood and youth, his quest for identity through art and his gradual emancipation from the claims of family, religion and Ireland itself, is also an oblique self-portrait of the young James Joyce and a universal testament to the artist's 'eternal imagination'. Both an insight into Joyce's life and childhood, and a unique work of modernist fiction, ","7,595",/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man
And Then There Were None,Agatha Christie,"998,587",264,1939,"Mystery,Fiction,Thriller,Crime,Mystery Thriller,Classics,Audiobook","First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:","63,830",/book/show/16299.And_Then_There_Were_None
The Second Sex,Simone de Beauvoir,"18,805",746,1949,"Feminism,Nonfiction,Philosophy,Classics,Womens,Gender,France","Newly translated and unabridged in English for the first time, Simone de Beauvoir’s masterwork is a powerful analysis of the Western notion of “woman,” and a groundbreaking exploration of inequality and otherness.  This long-awaited new edition reinstates significant portions of the original French text that were cut in the first English translation. Vital and groundbreaking, Beauvoir’s pioneering and impressive text remains as pertinent today as it was back then, and will continue to provoke and inspire generations of men and women to come.","2,350",/book/show/457264.The_Second_Sex
The Shipping News,Annie Proulx,"18,805",337,1993,"Fiction,Contemporary,Canada,Literary Fiction,Literature,Novels,Classics",Alternate Cover Edition ISBN 0671510053 (ISBN13: 9780671510053),"6,108",/book/show/7354.The_Shipping_News
Interpreter of Maladies,Jhumpa Lahiri,"53,824",198,1999,"Short Stories,Fiction,India,Contemporary,Literary Fiction,Literature,Indian Literature","Navigating between the Indian traditions they've inherited and the baffling new world, the characters in Jhumpa Lahiri's elegant, touching stories seek love beyond the barriers of culture and generations. In ""A Temporary Matter,"" published in ","13,876",/book/show/5439.Interpreter_of_Maladies
"Du côté de chez Swann (À la recherche du temps perdu, #1)",Marcel Proust,"53,824",710,1913,"Fiction,France,Literature,French Literature,Novels,Philosophy,20th Century","«Et tout d'un coup le souvenir m'est apparu. Ce goût, c'était celui du petit morceau de madeleine que le dimanche matin à Combray (parce que ce jour-là je ne sortais pas avant l'heure de la messe), quand j'allais lui dire bonjour dans sa chambre, ma tante Léonie m'offrait après l'avoir trempé dans son infusion de thé ou de tilleul. La vue de la petite madeleine ne m'avait rien rappelé avant que je n'y eusse goûté... Mais, quand d'un passé ancien rien ne subsiste, après la mort des êtres, après la destruction des choses, seules, plus frêles mais plus vivaces, plus immatérielles, plus persistantes, plus fidèles, l'odeur et la saveur restent encore longtemps, comme des âmes, à se rappeler, à attendre, à espérer, sur la ruine de tout le reste, à porter sans fléchir, sur leur goutelette presque impalpable, l'édifice immense du souvenir.»","5,331",/book/show/12749.Du_c_t_de_chez_Swann
Cat’s Cradle,Kurt Vonnegut Jr.,"998,587",179,1963,"Fiction,Classics,Science Fiction,Humor,Literature,Novels,Dystopia","Dr Felix Hoenikker, one of the founding 'fathers' of the atomic bomb, has left a deadly legacy to the world. For he's the inventor of 'ice-nine', a lethal chemical capable of freezing the entire planet. The search for its whereabouts leads to Hoenikker's three ecentric children, to a crazed dictator in the Caribbean, to madness. Felix Hoenikker's Death Wish comes true when his last, fatal gift to humankind brings about the end, that for all of us, is nigh...","15,280",/book/show/135479.Cat_s_Cradle
The Bridge of San Luis Rey,Thornton Wilder,"5,677",160,1927,"Fiction,Classics,Historical Fiction,Literature,Novels,American,Literary Fiction","This beautiful new edition features unpublished notes for the novel and other illuminating documentary material, all of which is included in a new Afterword by Tappan Wilder.","2,690",/book/show/92508.The_Bridge_of_San_Luis_Rey
Franny and Zooey,J.D. Salinger,"998,587",201,1957,"Fiction,Classics,Short Stories,Literature,American,Novels,Literary Fiction",First published in ,"10,328",/book/show/5113.Franny_and_Zooey
Fear and Loathing in Las Vegas,Hunter S. Thompson,"998,587",204,1971,"Fiction,Classics,Humor,Journalism,Novels,Literature,American"," is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken.","9,253",/book/show/7745.Fear_and_Loathing_in_Las_Vegas
Being and Time,Martin Heidegger,"5,677",589,1927,"Philosophy,Nonfiction,Classics,Psychology,German Literature,Theory,Science","One of the most important philosophical works of our time, a work that has had tremendous influence on philosophy, literature, and psychology, and has literally changed the intellectual map of the modern world.",802,/book/show/92307.Being_and_Time
Something Wicked This Way Comes,Ray Bradbury,"18,805",293,1962,"Horror,Fantasy,Fiction,Classics,Science Fiction,Young Adult,Halloween","One of Ray Bradbury’s best-known and most popular novels, ","10,388",/book/show/248596.Something_Wicked_This_Way_Comes
How to Win Friends and Influence People,Dale Carnegie,"9,637",288,1936,"Self Help,Nonfiction,Business,Psychology,Personal Development,Leadership,Communication",You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!,"24,688",/book/show/4865.How_to_Win_Friends_and_Influence_People
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,"5,677",294,1968,"Fantasy,Fiction,Young Adult,Graphic Novels,Classics,Childrens,Adventure","She was magical, beautiful beyond belief—and completely alone...","7,134",/book/show/29127.The_Last_Unicorn
Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,"18,805",260,1962,"Fiction,Short Stories,Classics,Magical Realism,Literature,Fantasy,Philosophy","Although his work has been restricted to the short story, the essay, and poetry, Jorge Luis Borges of Argentina is recognized all over the world as one of the most original and significant figures in modern literature. In his preface, Andre Maurois writes: ""Borges is a great writer who has composed only little essays or short narratives. Yet they suffice for us to call him great because of their wonderful intelligence, their wealth of invention, and their tight, almost mathematical style.""","1,770",/book/show/17717.Labyrinths
The Heart Is a Lonely Hunter,Carson McCullers,"53,824",359,1940,"Fiction,Classics,Literature,Novels,Historical Fiction,Southern Gothic,Literary Fiction","Carson McCullers’ prodigious first novel was published to instant acclaim when she was just twenty-three. Set in a small town in the middle of the deep South, it is the story of John Singer, a lonely deaf-mute, and a disparate group of people who are drawn towards his kind, sympathetic nature. The owner of the café where Singer eats every day, a young girl desperate to grow up, an angry drunkard, a frustrated black doctor: each pours their heart out to Singer, their silent confidant, and he in turn changes their disenchanted lives in ways they could never imagine.","8,164",/book/show/37380.The_Heart_Is_a_Lonely_Hunter
My Ántonia,Willa Cather,"53,824",219,1918,"Fiction,Historical Fiction,Classics,Literature,School,Historical,American","Through Jim Burden's endearing, smitten voice, we revisit the remarkable vicissitudes of immigrant life in the Nebraska heartland, with all its insistent bonds. Guiding the way are some of literature's most beguiling characters: the Russian brothers plagued by memories of a fateful sleigh ride, Antonia's desperately homesick father and self-indulgent mother, and the coy Lena Lingard. Holding the pastoral society's heart, of course, is the bewitching, free-spirited Antonia.","9,081",/book/show/17150.My_ntonia
To the Lighthouse,Virginia Woolf,"998,587",209,1927,"Classics,Fiction,Literature,Novels,Feminism,20th Century,Literary Fiction","The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.","13,124",/book/show/59716.To_the_Lighthouse
The End of the Affair,Graham Greene,"9,637",160,1951,"Fiction,Classics,Romance,Audiobook,Literature,Novels,British Literature", ,"5,887",/book/show/29641.The_End_of_the_Affair
Sophie’s Choice,William Styron,"998,587",562,1979,"Fiction,Classics,Historical Fiction,Holocaust,War,Historical,World War II",Three stories are told: a young Southerner wants to become a writer; a turbulent love-hate affair between a brilliant Jew and a beautiful Polish woman; and of an awful wound in that woman's past--one that impels both Sophie and Nathan toward destruction.,"3,041",/book/show/228560.Sophie_s_Choice
Childhood’s End,Arthur C. Clarke,"9,637",224,1953,"Science Fiction,Fiction,Classics,Science Fiction Fantasy,Dystopia,Aliens,Fantasy","The Overlords appeared suddenly over every city—intellectually, technologically, and militarily superior to humankind. Benevolent, they made few demands: unify earth, eliminate poverty, and end war. With little rebellion, humankind agreed, and a golden age began. ","7,299",/book/show/414999.Childhood_s_End
Hopscotch,Julio Cortázar,"5,677",564,1963,"Fiction,Classics,Spanish Literature,Literature,Latin American,Novels,Magical Realism","Horacio Oliveira is an Argentinian writer who lives in Paris with his mistress, La Maga, surrounded by a loose-knit circle of bohemian friends who call themselves ""the Club."" A child's death and La Maga's disappearance put an end to his life of empty pleasures and intellectual acrobatics, and prompt Oliveira to return to Buenos Aires, where he works by turns as a salesman, a keeper of a circus cat which can truly count, and an attendant in an insane asylum. ","3,420",/book/show/53413.Hopscotch
Midnight in the Garden of Good and Evil,John Berendt,"53,824",386,1994,"Nonfiction,True Crime,Mystery,Crime,History,Classics,Southern","Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this city of moss-hung oaks and shaded squares. John Berendt's narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt interweaves a first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.","12,146",/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
The Jungle,Upton Sinclair,"53,824",335,1906,"Classics,Fiction,Historical Fiction,Literature,Politics,School,Novels","For nearly a century, the original version of Upton Sinclair's classic novel has remained almost entirely unknown. ","7,173",/book/show/41681.The_Jungle
"Tropic of Cancer (Tropic, #1)",Henry Miller,"18,805",318,1934,"Fiction,Classics,Literature,Novels,Banned Books,American,Erotica",Now hailed as an American classic ,"4,284",/book/show/249.Tropic_of_Cancer
Even Cowgirls Get the Blues,Tom Robbins,"5,677",366,1976,"Fiction,Humor,Novels,Literature,Magical Realism,Contemporary,Literary Fiction","Starring Sissy Hanshaw--flawlessly beautiful, almost. A small-town girl with big-time dreams and a quirk to match--hitchhiking her way into your heart, your hopes, and your sleeping bags...","2,150",/book/show/7572.Even_Cowgirls_Get_the_Blues
"The Human Stain (The American Trilogy, #3)",Philip Roth,"5,677",361,2000,"Fiction,Novels,Literature,American,Contemporary,Literary Fiction,Classics","It is 1998, the year in which America is whipped into a frenzy of prurience by the impeachment of a president, and in a small New England town an aging Classics professor, Coleman Silk, is forced to retire when his colleagues decree that he is a racist. The charge is a lie, but the real truth about Silk would astonish even his most virulent accuser.","2,774",/book/show/11734.The_Human_Stain
The Caine Mutiny,Herman Wouk,"5,677",537,1951,"Fiction,Historical Fiction,Classics,War,World War II,Military Fiction,Literature",The novel that inspired the now-classic film ,"1,295",/book/show/368772.The_Caine_Mutiny
The Red Tent,Anita Diamant,"998,587",324,1997,"Historical Fiction,Fiction,Historical,Book Club,Feminism,Adult,Womens","Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, ","22,010",/book/show/4989.The_Red_Tent
Stuart Little,E.B. White,"9,637",131,1945,"Classics,Childrens,Fiction,Fantasy,Animals,Middle Grade,Young Adult",E.B. White's classic novel about one small mouse on a very big adventure! ,"3,740",/book/show/138959.Stuart_Little
Number the Stars,Lois Lowry,"9,637",137,1989,"Historical Fiction,Young Adult,Fiction,Classics,Childrens,Historical,Middle Grade","Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.","16,539",/book/show/47281.Number_the_Stars
