title,author,score,pages,year,genre,desc,reviews,url
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"998,587",452,1996,"Nonfiction,Memoir,Biography,Classics,Ireland,Autobiography,Biography Memoir",Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,"14,230",/book/show/252577.Angela_s_Ashes
The Pelican Brief,John Grisham,"9,637",400,1992,"Fiction,Thriller,Mystery,Crime,Suspense,Legal Thriller,Mystery Thriller","In suburban Georgetown a killer's Reeboks whisper on the front floor of a posh home... In a seedy D.C. porno house a patron is swiftly garroted to death... The next day America learns that two of its Supreme Court justices have been assassinated. And in New Orleans, a young law student prepares a legal brief... To Darby Shaw it was no more than a legal shot in the dark, a brilliant guess. To the Washington establishment it was political dynamite. Suddenly Darby is witness to a murder -- a murder intended for her. Going underground, she finds there is only one person she can trust -- an ambitious reporter after a newsbreak hotter than Watergate -- to help her piece together the deadly puzzle. Somewhere between the bayous of  Louisiana and the White House's inner sanctums, a violent cover-up is being engineered. For someone has read Darby's brief. Someone who will stop at nothing to destroy the evidence of an unthinkable crime.","3,458",/book/show/32499.The_Pelican_Brief
A Passage to India,E.M. Forster,"18,805",376,1924,"Classics,Fiction,India,Historical Fiction,Literature,Novels,British Literature","When Adela Quested and her elderly companion Mrs Moore arrive in the Indian town of Chandrapore, they quickly feel trapped by its insular and prejudiced 'Anglo-Indian' community. Determined to escape the parochial English enclave and explore the 'real India', they seek the guidance of the charming and mercurial Dr Aziz, a cultivated Indian Muslim. But a mysterious incident occurs while they are exploring the Marabar caves with Aziz, and the well-respected doctor soon finds himself at the centre of a scandal that rouses violent passions among both the British and their Indian subjects. A masterful portrait of a society in the grip of imperialism, ","4,172",/book/show/45195.A_Passage_to_India
"The Chosen (Reuven Malther, #1)",Chaim Potok,"18,805",304,1966,"Fiction,Classics,Historical Fiction,Young Adult,Jewish,Religion,School","It is the now-classic story of two fathers and two sons and the pressures on all of them to pursue the religion they share in the way that is best suited to each. And as the boys grow into young men, they discover in the other a lost spiritual brother, and a link to an unexplored world that neither had ever considered before. In effect, they exchange places, and find the peace that neither will ever retreat from again. . . .","4,997",/book/show/187181.The_Chosen
Do Androids Dream of Electric Sheep?,Philip K. Dick,"53,824",258,1968,"Science Fiction,Fiction,Classics,Dystopia,Cyberpunk,Science Fiction Fantasy,Fantasy","It was January 2021, and Rick Deckard had a license to kill. Somewhere among the hordes of humans out there, lurked several rogue androids. Deckard's assignment--find them and then...""retire"" them. Trouble was, the androids all looked exactly like humans, and they didn't want to be found!","19,377",/book/show/36402034-do-androids-dream-of-electric-sheep
The House on Mango Street,Sandra Cisneros,"5,677",110,1984,"Fiction,Classics,Young Adult,Short Stories,School,Coming Of Age,Contemporary","Acclaimed by critics, beloved by readers of all ages, taught everywhere from inner-city grade schools to universities across the country, and translated all over the world, ","16,686",/book/show/139253.The_House_on_Mango_Street
Pedro Páramo,Juan Rulfo,"5,677",124,1955,"Fiction,Classics,Magical Realism,Spanish Literature,Latin American,Novels,Literature",A classic of Mexican modern literature about a haunted village.,"6,136",/book/show/38787.Pedro_P_ramo
Dubliners,James Joyce,"53,824",207,1914,"Classics,Fiction,Short Stories,Ireland,Literature,Irish Literature,20th Century","This work of art reflects life in Ireland at the turn of the last century, and by rejecting euphemism, reveals to the Irish their unromantic realities. Each of the 15 stories offers glimpses into the lives of ordinary Dubliners, and collectively they paint a portrait of a nation.","8,858",/book/show/11012.Dubliners
"The Good Earth (House of Earth, #1)",Pearl S. Buck,"998,587",418,1931,"Classics,Fiction,Historical Fiction,China,Literature,Historical,Asia","This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.","11,623",/book/show/1078.The_Good_Earth
Naked Lunch,William S. Burroughs,"9,637",289,1959,"Fiction,Classics,Literature,Novels,American,Banned Books,Contemporary","The book is structured as a series of loosely connected vignettes. Burroughs stated that the chapters are intended to be read in any order. The reader follows the narration of junkie William Lee, who takes on various aliases, from the U.S. to Mexico, eventually to Tangier and the dreamlike Interzone.","4,810",/book/show/7437.Naked_Lunch
